epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,956.389,0.59628,0.9233,0.34896,0.38153,0.81672,1,0.99656,0.995,0.8271,1,0.99656,0.995,0.86234,0.60168,0.58986,0.23345,0.35665,0.78442,0.00125188,0.00125188,0.00125188
77,969.424,0.5729,0.78957,0.33944,0.364,0.81382,0.99569,1,0.995,0.79782,0.99569,1,0.995,0.91067,0.5705,0.41584,0.23604,0.31493,0.78249,0.0012419,0.0012419,0.0012419
78,981.875,0.5806,0.85968,0.34131,0.36638,0.81519,1,0.9982,0.995,0.83427,1,0.9982,0.995,0.90259,0.57495,0.41612,0.22945,0.34632,0.78746,0.00123193,0.00123193,0.00123193
79,994.729,0.5762,0.92224,0.35068,0.36451,0.8186,0.99634,1,0.995,0.83431,0.94624,0.95,0.90535,0.69977,0.59191,1.20235,0.24032,0.33043,0.78809,0.00122195,0.00122195,0.00122195
80,1007.08,0.57061,0.88834,0.34247,0.35571,0.81688,0.99924,1,0.995,0.826,0.99924,1,0.995,0.92447,0.58029,0.409,0.23604,0.33104,0.78139,0.00121198,0.00121198,0.00121198
81,1019.71,0.58906,0.91057,0.34323,0.36414,0.81896,1,0.99618,0.995,0.79578,0.84944,0.84646,0.74813,0.61704,0.61677,1.62405,0.24983,0.35447,0.78133,0.001202,0.001202,0.001202
82,1032.54,0.56904,0.9291,0.3399,0.36441,0.81734,1,0.99907,0.995,0.83099,0.79771,0.8,0.66027,0.57391,0.64519,1.94036,0.24724,0.35933,0.78488,0.00119202,0.00119202,0.00119202
83,1044.33,0.57033,0.91783,0.33442,0.3565,0.81292,1,0.99593,0.995,0.8384,1,0.99593,0.995,0.79172,0.58187,0.8142,0.24477,0.33426,0.78136,0.00118205,0.00118205,0.00118205
84,1056.79,0.55174,0.70871,0.32182,0.34671,0.80881,1,0.99137,0.995,0.84094,0.74883,0.74556,0.60307,0.49915,0.6028,2.50297,0.24572,0.3287,0.79002,0.00117208,0.00117208,0.00117208
85,1069.42,0.56079,0.74478,0.3427,0.34821,0.81177,1,0.99722,0.995,0.8368,0.89976,0.8977,0.8375,0.59787,0.6008,1.8145,0.24499,0.31274,0.78472,0.0011621,0.0011621,0.0011621
86,1081.96,0.55401,0.80004,0.33076,0.34711,0.80735,1,0.99475,0.995,0.83839,0.84923,0.84512,0.74845,0.51313,0.65308,2.20178,0.24024,0.33454,0.79331,0.00115212,0.00115212,0.00115212
87,1094.42,0.55628,0.7111,0.32989,0.34205,0.81057,0.99077,0.95,0.99262,0.85675,0.93863,0.9,0.93045,0.84376,0.59124,0.81361,0.22816,0.34112,0.79039,0.00114215,0.00114215,0.00114215
88,1107.21,0.57914,0.85777,0.33683,0.35783,0.8126,1,0.99513,0.995,0.86317,1,0.99513,0.995,0.88826,0.53736,0.4991,0.22747,0.33055,0.77676,0.00113218,0.00113218,0.00113218
89,1119.75,0.54281,0.74856,0.3275,0.34262,0.80996,1,0.99763,0.995,0.84698,0.94989,0.94787,0.9275,0.83556,0.58947,0.61848,0.22891,0.33503,0.7885,0.0011222,0.0011222,0.0011222
90,1132.62,0.55668,0.74992,0.33368,0.34557,0.81158,1,0.99587,0.995,0.84381,1,0.99587,0.995,0.86807,0.59337,0.51738,0.22774,0.34951,0.78586,0.00111222,0.00111222,0.00111222
91,1144.48,0.56924,0.78908,0.32742,0.34503,0.81056,0.99503,0.95,0.99262,0.83533,0.99503,0.95,0.99262,0.89377,0.55354,0.38513,0.22616,0.32182,0.78202,0.00110225,0.00110225,0.00110225
